CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,TypeofContact_encoded,Occupation_encoded,Gender_encoded,ProductPitched_encoded,MaritalStatus_encoded,Designation_encoded,Age_Group,Age_Group_encoded,Income_Group,Income_Group_encoded,Family_Size,Travel_Experience,Travel_Experience_encoded,High_Satisfaction,Base_Price,Price_Per_Person,Customer_Segment
200000,1,41.0,Self Enquiry,3,6.0,Salaried,Female,3,3.0,Deluxe,3.0,Single,1.0,1,2,1,0.0,Manager,20993.0,1,2,1,1,2,2,Middle,1,Medium,2,3.0,Beginner,0,0,2000,1154.7005383792516,2
200001,0,49.0,Company Invited,1,14.0,Salaried,Male,3,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,2.0,Manager,20130.0,0,2,2,1,0,2,Senior,2,Medium,2,5.0,Beginner,0,0,2000,1501.1106998930272,4
200002,1,37.0,Self Enquiry,1,8.0,Free Lancer,Male,3,4.0,Basic,3.0,Single,7.0,1,3,0,0.0,Executive,17090.0,1,0,2,0,2,1,Middle,1,Low,1,3.0,Expert,1,0,500,375.2776749732568,3
200003,0,33.0,Company Invited,1,9.0,Salaried,Female,2,3.0,Basic,3.0,Divorced,2.0,1,5,1,1.0,Executive,17909.0,0,2,1,0,0,1,Middle,1,Low,1,3.0,Beginner,0,1,500,459.61940777125585,1
200004,0,36.0,Self Enquiry,1,8.0,Small Business,Male,2,3.0,Basic,4.0,Divorced,1.0,0,5,1,0.0,Executive,18468.0,1,3,2,0,0,1,,1,Low,1,2.0,Beginner,0,1,500,459.61940777125585,1
200005,0,32.0,Company Invited,1,8.0,Salaried,Male,3,3.0,Basic,3.0,Single,1.0,0,5,1,1.0,Executive,18068.0,0,2,2,0,2,1,Middle,1,Low,1,4.0,Beginner,0,1,500,375.2776749732568,1
200006,0,59.0,Self Enquiry,1,9.0,Small Business,Female,2,2.0,Basic,5.0,Divorced,5.0,1,2,1,1.0,Executive,17670.0,1,3,1,0,0,1,Senior,2,Low,1,3.0,Regular,3,0,500,459.61940777125585,3
200007,0,30.0,Self Enquiry,1,30.0,Salaried,Male,3,3.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,17693.0,1,2,2,0,1,1,Young,3,Low,1,4.0,Beginner,0,0,500,375.2776749732568,4
200008,0,38.0,Company Invited,1,29.0,Salaried,Male,2,4.0,Standard,3.0,Unmarried,1.0,0,3,0,0.0,Senior Manager,24526.0,0,2,2,3,3,3,Middle,1,Medium,2,2.0,Beginner,0,0,1000,919.2388155425117,1
200009,0,36.0,Self Enquiry,1,33.0,Small Business,Male,3,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,0.0,Manager,20237.0,1,3,2,1,0,2,Middle,1,Medium,2,3.0,Expert,1,0,2000,1501.1106998930272,3
200010,0,35.0,Self Enquiry,1,22.0,Small Business,Male,2,2.0,Basic,4.0,Divorced,1.0,0,3,1,1.0,Executive,17426.0,1,3,2,0,0,1,Middle,1,Low,1,3.0,Beginner,0,0,500,459.61940777125585,1
200011,0,36.0,Self Enquiry,1,21.0,Salaried,Female,2,4.0,Deluxe,3.0,Single,1.0,1,3,0,0.0,Manager,22347.0,1,2,1,1,2,2,,1,,1,2.0,Beginner,0,0,2000,1838.4776310850234,1
200012,0,31.0,Self Enquiry,1,32.0,Salaried,Male,2,3.0,Basic,3.0,Married,2.0,0,3,0,1.0,Executive,17911.0,1,2,2,0,1,1,Middle,1,Low,1,3.0,Beginner,0,0,500,459.61940777125585,1
200013,0,34.0,Self Enquiry,1,25.0,Small Business,Male,3,3.0,Basic,3.0,Married,1.0,0,3,0,2.0,Executive,17661.0,1,3,2,0,1,1,Middle,1,Low,1,5.0,Beginner,0,0,500,375.2776749732568,1
200014,1,28.0,Self Enquiry,1,30.0,Salaried,Male,2,4.0,Basic,3.0,Single,6.0,1,2,0,0.0,Executive,17028.0,1,2,2,0,2,1,Young,3,Low,1,2.0,Expert,1,0,500,459.61940777125585,1
200015,0,29.0,Self Enquiry,1,27.0,Salaried,Female,2,2.0,Standard,5.0,Married,2.0,0,5,1,1.0,Senior Manager,24980.0,1,2,1,3,1,3,Young,3,Medium,2,3.0,Beginner,0,1,1000,919.2388155425117,1
200016,0,32.0,Self Enquiry,1,11.0,Salaried,Male,3,2.0,Basic,4.0,Married,1.0,1,2,1,0.0,Executive,18298.0,1,2,2,0,1,1,Middle,1,Low,1,3.0,Beginner,0,0,500,375.2776749732568,4
